INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
86,T,230513,140958,52.8351684N,1.3119994W,67,0.1,124
87,T,230513,140958,52.8351684N,1.3119994W,67,0.1,124
88,T,230513,140958,52.8351684N,1.3119994W,67,0.1,124
89,T,230513,140958,52.8351684N,1.3119994W,67,0.1,124
90,T,230513,140959,52.8351684N,1.3119993W,67,0.0,124
91,T,230513,140959,52.8351690N,1.3119992W,67,0.0,124
92,T,230513,140959,52.8351690N,1.3119992W,67,0.0,124
93,T,230513,140959,52.8351690N,1.3119992W,67,0.0,124
94,T,230513,140959,52.8351691N,1.3119992W,67,0.0,124
95,T,230513,141000,52.8351684N,1.3119993W,67,0.0,124
96,T,230513,141000,52.8351684N,1.3119993W,67,0.0,124
97,T,230513,141000,52.8351683N,1.3119993W,67,0.0,124
98,T,230513,141000,52.8351684N,1.3119993W,67,0.0,124
99,T,230513,141000,52.8351684N,1.3119993W,67,0.0,124
100,T,230513,141001,52.8351684N,1.3119993W,67,0.0,124
101,T,230513,141001,52.8351684N,1.3119993W,67,0.0,124
102,T,230513,141001,52.8351683N,1.3119994W,67,0.0,124
103,T,230513,141001,52.8351684N,1.3119993W,67,0.0,124
104,T,230513,141001,52.8351684N,1.3119993W,67,0.0,124
105,T,230513,141002,52.8351684N,1.3119993W,67,0.0,124
106,T,230513,141002,52.8351684N,1.3119994W,67,0.0,124
107,T,230513,141002,52.8351684N,1.3119994W,67,0.0,124
108,T,230513,141002,52.8351684N,1.3119993W,67,0.0,124
109,T,230513,141002,52.8351684N,1.3119993W,67,0.0,124
110,T,230513,141003,52.8351684N,1.3119993W,67,0.1,124
111,T,230513,141003,52.8351683N,1.3119993W,67,0.1,124
112,T,230513,141003,52.8351683N,1.3119994W,67,0.1,124
113,T,230513,141003,52.8351683N,1.3119994W,67,0.1,124
114,T,230513,141003,52.8351683N,1.3119994W,67,0.1,124
115,T,230513,141004,52.8351684N,1.3119993W,67,0.0,124
116,T,230513,141004,52.8351683N,1.3119993W,67,0.0,124
117,T,230513,141004,52.8351684N,1.3119993W,67,0.0,124
118,T,230513,141004,52.8351684N,1.3119994W,67,0.0,124
119,T,230513,141004,52.8351684N,1.3119996W,67,0.0,124
120,T,230513,141005,52.8351684N,1.3119993W,67,0.1,124
121,T,230513,141005,52.8351683N,1.3119994W,67,0.1,124
122,T,230513,141005,52.8351683N,1.3119994W,67,0.1,124
123,T,230513,141005,52.8351683N,1.3119993W,67,0.1,124
124,T,230513,141005,52.8351683N,1.3119993W,67,0.1,124
125,T,230513,141006,52.8351684N,1.3119993W,67,0.0,124
126,T,230513,141006,52.8351684N,1.3119993W,67,0.0,124
127,T,230513,141006,52.8351684N,1.3119993W,67,0.0,124
128,T,230513,141006,52.8351684N,1.3119993W,67,0.0,124
129,T,230513,141006,52.8351684N,1.3119993W,67,0.0,124
130,T,230513,141007,52.8351684N,1.3119993W,67,0.7,124
131,T,230513,141007,52.8351683N,1.3119994W,67,0.7,124
132,T,230513,141007,52.8351683N,1.3119993W,67,0.7,124
133,T,230513,141007,52.8351683N,1.3119994W,67,0.7,124
134,T,230513,141007,52.8351684N,1.3119993W,67,0.7,124
135,T,230513,141008,52.8351684N,1.3119993W,67,0.0,124
136,T,230513,141008,52.8351684N,1.3119994W,67,0.0,124
137,T,230513,141008,52.8351683N,1.3119993W,67,0.0,124
138,T,230513,141008,52.8351684N,1.3119993W,67,0.0,124
139,T,230513,141008,52.8351684N,1.3119993W,67,0.0,124
140,T,230513,141009,52.8351684N,1.3119993W,67,0.0,124
141,T,230513,141009,52.8351684N,1.3119994W,67,0.0,124
142,T,230513,141009,52.8351684N,1.3119994W,67,0.0,124
143,T,230513,141009,52.8351684N,1.3119995W,67,0.0,124
144,T,230513,141009,52.8351684N,1.3119994W,67,0.0,124
145,T,230513,141010,52.8351684N,1.3119993W,67,0.0,124
146,T,230513,141010,52.8351684N,1.3119992W,67,0.0,124
147,T,230513,141010,52.8351684N,1.3119993W,67,0.0,124
148,T,230513,141010,52.8351684N,1.3119993W,67,0.0,124
149,T,230513,141010,52.8351684N,1.3119993W,67,0.0,124
150,T,230513,141011,52.8351684N,1.3119993W,67,0.1,124
151,T,230513,141011,52.8351683N,1.3119994W,67,0.1,124
152,T,230513,141011,52.8351683N,1.3119993W,67,0.1,124
153,T,230513,141011,52.8351683N,1.3119994W,67,0.1,124
154,T,230513,141011,52.8351683N,1.3119994W,67,0.1,124
155,T,230513,141012,52.8351684N,1.3119993W,67,0.0,124
156,T,230513,141012,52.8351684N,1.3119994W,67,0.0,124
157,T,230513,141012,52.8351684N,1.3119994W,67,0.0,124
158,T,230513,141012,52.8351683N,1.3119994W,67,0.0,124
159,T,230513,141012,52.8351683N,1.3119994W,67,0.0,124
160,T,230513,141013,52.8351684N,1.3119993W,67,0.0,124
161,T,230513,141013,52.8351684N,1.3119994W,67,0.0,124
162,T,230513,141013,52.8351684N,1.3119994W,67,0.0,124
163,T,230513,141013,52.8351684N,1.3119994W,67,0.0,124
164,T,230513,141013,52.8351684N,1.3119994W,67,0.0,124
165,T,230513,141014,52.8351684N,1.3119993W,67,0.0,124
166,T,230513,141014,52.8351684N,1.3119993W,67,0.0,124
167,T,230513,141014,52.8351684N,1.3119993W,67,0.0,124
